"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User Sign-in Service (API)","User sign-in attempts with various credentials","0","0","8","0","0"
"","Topstep Login Functionality (UI)","An unauthorized user login attempt","0","0","3","0","0"
"","User Sign-in Service (API)","User sign-in negative scenario","0","0","3","0","0"
"","User Account Management Services (API)","Happy path call without any changes","0","0","1","0","0"
"","User Account Management Services (API)","Negative case, API call without 'X-Xsrf-Token' header","0","0","2","0","0"
"","User Account Management Services (API)","Sending a PATCH request without modifications","0","0","1","0","0"
"","User Account Management Services (API)","Sending a PATCH request with an invalid user_id","0","0","2","0","0"
"","Topstep Login Functionality (UI)","Authorized user should be able to login","0","0","1","0","0"
"","User Sign-in Service (API)","User sign-in happy path","0","0","1","0","0"
"","User Account Management Services (API)","Happy path call with new changes in the request payload","0","0","1","0","0"
"","User Account Management Services (API)","Sending a PATCH request new profile_id","0","0","1","0","0"
"","User Account Management Services (API)","Negative case, invalid user_id in the endpoint","0","0","1","0","0"
